host_is_superhost,latitude,longitude,accommodates,bedrooms,price,review_scores_value,instant_bookable,entire_apt,bathrooms,single_letting,over_ten_lettings
False,51.44201,-0.18739,2,1,42.0,4.66,True,False,1.5,True,False
False,51.49993,-0.21707,5,2,100.0,4.68,False,True,1.0,True,False
False,51.4175,-0.19643,4,2,75.0,4.29,True,True,2.0,False,True
False,51.46672,-0.12717,2,1,45.0,4.68,True,False,1.0,True,False
False,51.47618,0.01442,2,1,41.0,4.64,False,False,1.0,True,False
False,51.51881,-0.1965,4,2,300.0,4.29,False,True,2.0,True,False
True,51.52764,-0.05293,4,1,75.0,4.8,True,True,1.0,True,False
True,51.44809,-0.04135,4,2,120.0,4.81,False,True,1.0,False,False
True,51.51939,-0.2285,2,1,49.0,4.88,False,False,1.0,True,False
False,51.42996,-0.12161,2,1,35.0,4.69,False,False,1.0,True,False
False,51.46652,-0.23675,2,1,30.0,4.48,False,False,2.0,True,False
False,51.51448,-0.29547,2,1,60.0,4.88,False,False,1.0,True,False
False,51.57271,-0.13948,2,1,80.0,4.35,False,True,1.0,True,False
True,51.53443,0.02706,1,1,27.0,4.81,False,False,1.5,True,False
False,51.50838,-0.19884,1,1,110.0,4.84,False,False,1.0,True,False
False,51.54873,-0.10569,4,1,118.0,4.54,False,True,1.0,True,False
False,51.50134,-0.22922,2,1,350.0,,True,False,1.0,True,False
False,51.52819,-0.0561,2,1,55.0,5.0,False,False,1.0,True,False
True,51.54713,-0.05522,6,3,250.0,4.46,False,True,1.0,False,False
True,51.50551,-0.10952,2,1,95.0,4.86,False,False,1.0,True,False
True,51.5347,-0.03215,5,2,68.0,4.89,False,False,1.0,False,False
True,51.52478,-0.10484,2,1,126.0,4.69,False,True,1.0,False,False
True,51.52055,-0.18317,4,2,179.0,4.77,True,True,1.0,True,False
True,51.61137,-0.11888,1,1,25.0,4.93,False,False,1.0,True,False
False,51.52359,-0.19587,2,1,99.0,5.0,False,True,1.0,True,False
False,51.44777,-0.33962,2,1,1000.0,,False,False,1.0,True,False
True,51.49148,-0.11151,2,1,90.0,4.82,False,True,1.0,True,False
False,51.51099,-0.07862,2,1,130.0,4.85,False,True,1.0,True,False
False,51.51556,-0.04032,1,1,75.0,4.66,False,False,1.0,True,False
False,51.52851,-0.08985,3,1,140.0,4.67,False,True,1.5,True,False
